N;Poder de N;Valor de B_4 calculado;Diferencia porcentual;Tiempo de ejecuci�n
100000;5;2.665437349;1.0962;
1000000;6;2.669470462;1.2457;
10000000;7;2.639547338;0.12613;
100000000;8;2.637714798;0.056746;
1000000000;9;2.634867825;0.051243;
